model,accuracy,balanced_accuracy,precision,recall,f1,f2,roc_auc,pr_auc,tn,fp,fn,tp,specificity,false_negative_rate,false_positive_rate,cv_f1_mean,cv_f2_mean,cv_recall_mean,cv_precision_mean,cv_roc_auc_mean,cv_pr_auc_mean,cv_balanced_accuracy_mean
Logistic Regression,0.9274277396548138,0.9219202967576361,0.7121057985757884,0.9138381201044387,0.8004574042309891,0.8648381517173215,0.980327342684936,0.9135563252380172,3760,283,66,700,0.9300024734108335,0.08616187989556136,0.06999752658916646,0.8198914062566904,0.8886246444629485,0.9412987862350203,0.7263930540336402,0.9832430535525833,0.9161337880373157,0.9404773835716845
MLP Neural Network,0.9170305676855895,0.7485503423058517,0.9576059850374065,0.5013054830287206,0.6580976863753213,0.5541125541125541,0.9815650168004656,0.91366388596068,4026,17,382,384,0.995795201582983,0.49869451697127937,0.004204798417017067,0.8958631044727511,0.8972916669427032,0.8983502285827868,0.8939032146840763,0.9932025209547369,0.9645230820599814,0.9400505733178465
XGBoost,0.9020586400499064,0.7179541534250928,0.8772378516624041,0.44778067885117495,0.5929127052722558,0.4963820549927641,0.9336741646103344,0.8169552411685738,3995,48,423,343,0.9881276279990107,0.5522193211488251,0.011872372000989364,0.9301019639796768,0.9597647650538159,0.9806701675418855,0.8847045201025198,0.9983691943848513,0.9906967978972936,0.9794464414973545
Gradient Boosting,0.8978997712622167,0.6847946261759196,0.9661016949152542,0.3720626631853786,0.5372290292177191,0.4242334027984519,0.9133198662679072,0.7993680852544462,4033,10,481,285,0.9975265891664605,0.6279373368146214,0.002473410833539451,0.8728573106987936,0.8494866537322763,0.8346471233192914,0.9151160205112634,0.9927324771116511,0.9616663100028872,0.910723490376844
Hist Gradient Boosting,0.8858390517779164,0.6442902634796047,0.9779735682819384,0.2898172323759791,0.4471299093655589,0.33728350045578853,0.938349104825476,0.8217582777323612,4038,5,544,222,0.9987632945832303,0.7101827676240209,0.0012367054167697256,0.9656673875971518,0.9636946937848065,0.9624175274587877,0.9691125057689941,0.9992430716054633,0.9957372872473818,0.978593108678937
Random Forest,0.868163859430235,0.5877490928136114,0.9782608695652174,0.1762402088772846,0.29867256637168144,0.2108057464084947,0.9570984307725889,0.8246047078817351,4040,3,631,135,0.9992579767499382,0.8237597911227154,0.0007420232500618352,0.9029694515622835,0.888420145063289,0.8790255256121723,0.928532183545977,0.9955108667576775,0.9741839328293761,0.9337339056699967
